Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),Vehicle Age,Condition,Has_AC,Has_PowerSteering,Has_PowerMirror,Has_PowerWindow,Option_Count
12900000,Audi,A6,2013.0,120000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
17850000,Audi,A3,2023.0,11200.0,Automatic,Petrol,1000.0,3.0,Used,1,1,1,1,4
15700000,Audi,A3 Advanced Sportback MHEV,2023.0,20000.0,Automatic,Petrol,1000.0,3.0,Used,0,0,0,0,0
12900000,Audi,A3,2017.0,74000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
13800000,Audi,A6,2013.0,119000.0,Automatic,Petrol,2000.0,13.0,Used,1,1,1,1,4
22500000,Audi,A5 Sportback,2019.0,154000.0,Automatic,Petrol,1400.0,7.0,Used,1,1,1,1,4
6700000,Audi,A6,2004.0,223000.0,Automatic,Diesel,1896.0,22.0,Used,1,1,1,1,4
5475000,Audi,A4,2001.0,265000.0,Manual,Petrol,1800.0,25.0,Used,1,1,1,1,4
15500000,Audi,A4 S-line,2016.0,100000.0,Automatic,Petrol,1400.0,10.0,Used,1,1,1,1,4
23200000,Audi,A5 S Line,2018.0,45000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
13900000,Audi,A6,2012.0,98000.0,Automatic,Petrol,2000.0,14.0,Used,1,1,1,1,4
8950000,Audi,A1,2018.0,83000.0,Automatic,Petrol,1000.0,8.0,Used,0,0,0,0,0
13000000,Audi,A4,2014.0,190000.0,Automatic,Petrol,1800.0,12.0,Used,1,1,1,1,4
11350000,Audi,A3 Sportback,2017.0,93000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
8700000,Audi,A1 TFSI,2017.0,68000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
16200000,Audi,A6,2013.0,142000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
8800000,Audi,A1,2015.0,145000.0,Automatic,Petrol,1000.0,11.0,Used,1,1,1,1,4
9005000,Audi,A1,2016.0,100000.0,Automatic,Petrol,1000.0,10.0,Used,1,1,1,1,4
13800000,Audi,A3 Sedan,2017.0,88000.0,Automatic,Petrol,1400.0,9.0,Used,1,1,1,1,4
12790000,Audi,Audi,2017.0,85000.0,Automatic,Petrol,999.0,9.0,Used,0,0,0,0,0
18500000,Audi,A3 TFSI Advance,2023.0,24000.0,Automatic,Petrol,1000.0,3.0,Unregistered,0,0,0,0,0
19800000,Audi,A6 S LINE,2016.0,92000.0,Automatic,Petrol,1800.0,10.0,Used,1,1,1,1,4
8000000,Audi,A1,2017.0,63000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
12800000,Audi,A4,2011.0,126000.0,Automatic,Petrol,1800.0,15.0,Used,0,0,0,0,0
4925000,Audi,A4,2001.0,124999.0,Manual,Diesel,1899.0,25.0,Used,1,1,1,1,4
17850000,Audi,A3 Advanced TFSI,2022.0,21000.0,Automatic,Petrol,1000.0,4.0,Unregistered,0,0,0,0,0
1975000,Audi,A6,2007.0,196080.0,Automatic,Petrol,2000.0,19.0,Used,1,1,1,1,4
900000,Audi,A4,2011.0,153000.0,Automatic,Petrol,1800.0,15.0,Used,1,1,1,1,4
25500000,Audi,A5 S-Line,2019.0,54450.0,Automatic,Petrol,1400.0,7.0,Used,1,1,1,1,4
19225000,Audi,A3 Sportback S Line,2023.0,13500.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
16900000,Audi,A3,2018.0,440000.0,Automatic,Petrol,1000.0,8.0,Used,1,1,1,1,4
19450000,Audi,A3 Advanced,2023.0,11500.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
16900000,Audi,A3,2018.0,440000.0,Automatic,Petrol,1000.0,8.0,Used,1,1,1,1,4
26000000,Audi,A5 1.4 TFSI,2018.0,17558.0,Automatic,Petrol,1400.0,8.0,Used,1,1,1,1,4
20500000,Audi,A3 Advance,2024.0,17000.0,Automatic,Petrol,1000.0,2.0,Unregistered,1,1,1,1,4
13450000,Audi,A6,2013.0,150000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
1400000,Audi,A3,2018.0,100000.0,Automatic,Petrol,1000.0,8.0,Used,1,1,1,1,4
19000000,Audi,A3 Urdan Style,2023.0,19000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
8300000,Audi,A1,2015.0,95000.0,Automatic,Petrol,1000.0,11.0,Used,1,1,1,1,4
14000000,Audi,A3,2015.0,61000.0,Automatic,Petrol,1400.0,11.0,Used,1,1,1,1,4
19950000,Audi,A3,2023.0,4300.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
12000000,Audi,A3,2016.0,85000.0,Automatic,Petrol,1000.0,10.0,Used,1,1,1,1,4
8950000,Audi,A1,2017.0,59000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
8950000,Audi,A1,2017.0,59000.0,Automatic,Petrol,1000.0,9.0,Used,1,1,1,1,4
23500000,Audi,A5,2018.0,48000.0,Automatic,Petrol,1500.0,8.0,Used,1,1,1,1,4
19800000,Audi,A3,2023.0,7000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
8200000,Audi,A1,2016.0,137000.0,Automatic,Petrol,1000.0,10.0,Used,1,1,1,1,4
15300000,Audi,A3,2018.0,83700.0,Automatic,Petrol,1000.0,8.0,Used,0,0,0,0,0
4100000,Audi,A6,2000.0,283000.0,Automatic,Diesel,1900.0,26.0,Used,1,1,1,1,4
15600000,Audi,A3,2018.0,83700.0,Automatic,Petrol,1000.0,8.0,Used,1,1,1,1,4
19800000,Audi,A3 Sedan Advance,2023.0,8000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
21500000,Audi,A4 TFSI Highest Spec,2018.0,45000.0,Automatic,Petrol,1400.0,8.0,Used,1,1,1,1,4
20750000,Audi,A3 Sedan Urban Style,2023.0,4000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
9000000,Audi,A6,2007.0,150000.0,Automatic,Petrol,1984.0,19.0,Used,1,1,1,1,4
17000000,Audi,A6 TDI,2014.0,159200.0,Automatic,Diesel,2000.0,12.0,Used,1,1,1,1,4
11800000,Audi,A4,2011.0,140000.0,Automatic,Petrol,1790.0,15.0,Used,0,0,0,0,0
14400000,Audi,A3,2015.0,70400.0,Automatic,Petrol,1390.0,11.0,Used,1,1,1,1,4
11000000,Audi,A4,2011.0,95000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
24700000,Audi,A5 S-line,2018.0,74000.0,Automatic,Petrol,1400.0,8.0,Used,1,1,1,1,4
18500000,Audi,A3,2023.0,10000.0,Automatic,Petrol,1000.0,3.0,Unregistered,1,1,1,1,4
11800000,Audi,A4 B8,2012.0,92000.0,Automatic,Petrol,1800.0,14.0,Used,1,1,1,1,4
11250000,Audi,A4 Sline,2011.0,97000.0,Automatic,Petrol,1800.0,15.0,Used,0,0,0,0,0
17500000,Audi,A3,2019.0,7400.0,Automatic,Petrol,1100.0,7.0,Used,1,1,1,1,4
15975000,Audi,A3,2018.0,48000.0,Automatic,Petrol,1000.0,8.0,Used,1,1,1,1,4
2600000,Austin,Mini Cooper,1991.0,80000.0,Automatic,Petrol,1300.0,35.0,Used,1,0,0,0,1
24000000,BAW,520d,2013.0,147000.0,Automatic,Diesel,2000.0,13.0,Used,1,1,1,1,4
41500000,BMW,740le,2017.0,47000.0,Automatic,Petrol,2000.0,9.0,Used,1,1,1,1,4
20200000,BMW,318i Sports Luxury Line,2017.0,55000.0,Automatic,Petrol,1500.0,9.0,Used,1,1,1,1,4
23500000,BMW,330e M Sport,2016.0,84900.0,Automatic,Petrol,2000.0,10.0,Used,1,1,1,1,4
19500000,BMW,318i M Sport,2016.0,148000.0,Automatic,Petrol,1500.0,10.0,Used,1,1,1,1,4
11900000,BMW,320D,2011.0,137000.0,Automatic,Diesel,2000.0,15.0,Used,1,1,1,1,4
20500000,BMW,520D F10,2014.0,97000.0,Automatic,Diesel,1990.0,12.0,Used,1,1,1,1,4
46000000,BMW,740LE,2017.0,60000.0,Automatic,Petrol,2000.0,9.0,Used,1,1,1,1,4
22000000,BMW,520D GT,2014.0,87000.0,Automatic,Diesel,2000.0,12.0,Used,1,1,1,1,4
21500000,BMW,318i,2019.0,85000.0,Automatic,Petrol,1500.0,7.0,Used,1,1,1,1,4
14900000,BMW,520i F10 M Sport,2011.0,146000.0,Automatic,Petrol,2000.0,15.0,Used,1,1,1,1,4
27500000,BMW,218i,2024.0,5000.0,Automatic,Petrol,1500.0,2.0,Unregistered,1,1,1,1,4
27500000,BMW,218i,2024.0,6000.0,Automatic,Petrol,1500.0,2.0,Unregistered,1,1,1,1,4
26000000,BMW,218i,2023.0,13000.0,Automatic,Petrol,1500.0,3.0,Unregistered,1,1,1,1,4
6400000,BMW,E46 320D,1999.0,97000.0,Manual,Diesel,2000.0,27.0,Used,1,1,1,1,4
32500000,BMW,Z4 SDrive35is,2012.0,37000.0,Automatic,Petrol,3000.0,14.0,Used,1,1,1,1,4
17900000,BMW,520d M Sport,2012.0,131000.0,Automatic,Diesel,2000.0,14.0,Used,1,1,1,1,4
16900000,BMW,523i Stage 1 M5 Kitted,2010.0,100000.0,Automatic,Petrol,2500.0,16.0,Used,1,1,1,1,4
